vgs	-I(Vds)
Step Information: Vds=600m  (Run: 1/41)
5.600000000000002e-001	6.340096e-005
5.800000000000002e-001	7.467266e-005
6.000000000000002e-001	8.668352e-005
6.200000000000002e-001	9.935426e-005
6.400000000000002e-001	1.126132e-004
6.600000000000003e-001	1.263967e-004
6.800000000000003e-001	1.406490e-004
7.000000000000003e-001	1.553214e-004
7.200000000000003e-001	1.703712e-004
7.400000000000003e-001	1.857611e-004
7.600000000000003e-001	2.014580e-004
7.800000000000004e-001	2.174325e-004
8.000000000000004e-001	2.336584e-004
8.200000000000004e-001	2.501119e-004
8.400000000000004e-001	2.667714e-004
8.600000000000004e-001	2.836175e-004
8.800000000000005e-001	3.006319e-004
9.000000000000005e-001	3.177983e-004
9.200000000000005e-001	3.351011e-004
9.400000000000005e-001	3.525261e-004
9.600000000000005e-001	3.700601e-004
9.800000000000005e-001	3.876907e-004
1.000000000000000e+000	4.054061e-004
1.020000000000001e+000	4.231957e-004
1.040000000000001e+000	4.410490e-004
1.060000000000001e+000	4.589563e-004
1.080000000000001e+000	4.769086e-004
1.100000000000001e+000	4.948971e-004
1.120000000000001e+000	5.129134e-004
1.140000000000001e+000	5.309496e-004
1.160000000000001e+000	5.489981e-004
1.180000000000001e+000	5.670515e-004
1.200000000000001e+000	5.851026e-004
1.220000000000001e+000	6.031444e-004
1.240000000000001e+000	6.211702e-004
1.260000000000001e+000	6.391730e-004
1.280000000000001e+000	6.571462e-004
1.300000000000001e+000	6.750831e-004
1.320000000000001e+000	6.929769e-004
1.340000000000001e+000	7.108206e-004
1.360000000000001e+000	7.286074e-004
1.380000000000001e+000	7.463298e-004
1.400000000000001e+000	7.639804e-004
1.420000000000001e+000	7.815515e-004
1.440000000000001e+000	7.990349e-004
1.460000000000001e+000	8.164219e-004
1.480000000000001e+000	8.337034e-004
1.500000000000001e+000	8.508701e-004
1.520000000000001e+000	8.679117e-004
1.540000000000001e+000	8.848176e-004
1.560000000000001e+000	9.015766e-004
1.580000000000001e+000	9.181770e-004
1.600000000000001e+000	9.346064e-004
1.620000000000001e+000	9.508525e-004
1.640000000000001e+000	9.669021e-004
1.660000000000001e+000	9.827424e-004
1.680000000000001e+000	9.983606e-004
1.700000000000001e+000	1.013744e-003
1.720000000000001e+000	1.028880e-003
1.740000000000001e+000	1.043758e-003
1.760000000000001e+000	1.058369e-003
1.780000000000001e+000	1.072702e-003
1.800000000000000e+000	1.086751e-003
Step Information: Vds=780m  (Run: 7/41)
0.000000000000000e+000	2.025887e-010
2.000000000000000e-002	3.743545e-010
4.000000000000000e-002	6.912987e-010
6.000000000000000e-002	1.274651e-009
8.000000000000000e-002	2.344749e-009
1.000000000000000e-001	4.299066e-009
1.200000000000000e-001	7.847570e-009
1.400000000000000e-001	1.424227e-008
1.600000000000000e-001	2.565520e-008
1.800000000000000e-001	4.577818e-008
2.000000000000000e-001	8.073260e-008
2.200000000000000e-001	1.403800e-007
2.400000000000000e-001	2.401116e-007
2.600000000000000e-001	4.031772e-007
2.800000000000000e-001	6.636151e-007
3.000000000000000e-001	1.069823e-006
3.200000000000000e-001	1.688629e-006
3.400000000000000e-001	2.609117e-006
3.600000000000000e-001	3.944501e-006
3.800000000000001e-001	5.829584e-006
