vds	abs(I(Vds))
Step Information: Vgs=600m  (Run: 1/5)
1.800000000000000e+000	1.002376e-003
Step Information: Vgs=1.8  (Run: 5/5)
0.000000000000000e+000	0.000000e+000
2.000000000000000e-002	4.997581e-005
4.000000000000000e-002	9.859730e-005
6.000000000000000e-002	1.458879e-004
8.000000000000000e-002	1.918703e-004
1.000000000000000e-001	2.365668e-004
1.200000000000000e-001	2.799990e-004
1.400000000000000e-001	3.221878e-004
1.600000000000000e-001	3.631536e-004
1.800000000000000e-001	4.029162e-004
2.000000000000000e-001	4.414948e-004
2.200000000000000e-001	4.789081e-004
2.400000000000000e-001	5.151739e-004
2.600000000000000e-001	5.503098e-004
2.800000000000000e-001	5.843323e-004
3.000000000000000e-001	6.172574e-004
3.200000000000000e-001	6.491006e-004
3.400000000000000e-001	6.798762e-004
3.600000000000000e-001	7.095980e-004
3.800000000000001e-001	7.382787e-004
4.000000000000001e-001	7.659300e-004
4.200000000000001e-001	7.925628e-004
4.400000000000001e-001	8.181863e-004
4.600000000000001e-001	8.428083e-004
4.800000000000002e-001	8.664353e-004
5.000000000000001e-001	8.890716e-004
5.200000000000001e-001	9.107194e-004
5.400000000000002e-001	9.313783e-004
5.600000000000002e-001	9.510455e-004
5.800000000000002e-001	9.697150e-004
6.000000000000002e-001	9.873777e-004
6.200000000000002e-001	1.004022e-003
6.400000000000002e-001	1.019634e-003
6.600000000000003e-001	1.034201e-003
6.800000000000003e-001	1.047712e-003
7.000000000000003e-001	1.060162e-003
7.200000000000003e-001	1.071561e-003
7.400000000000003e-001	1.081935e-003
7.600000000000003e-001	1.091329e-003
7.800000000000004e-001	1.099814e-003
8.000000000000004e-001	1.107472e-003
8.200000000000004e-001	1.114400e-003
8.400000000000004e-001	1.120696e-003
8.600000000000004e-001	1.126456e-003
8.800000000000005e-001	1.131764e-003
9.000000000000005e-001	1.136697e-003
9.200000000000005e-001	1.141319e-003
9.400000000000005e-001	1.145683e-003
9.600000000000005e-001	1.149833e-003
9.800000000000005e-001	1.153805e-003
1.000000000000000e+000	1.157628e-003
1.020000000000001e+000	1.161327e-003
1.040000000000001e+000	1.164922e-003
1.060000000000001e+000	1.168427e-003
1.080000000000001e+000	1.171857e-003
1.100000000000001e+000	1.175222e-003
1.120000000000001e+000	1.178532e-003
1.140000000000001e+000	1.181793e-003
1.160000000000001e+000	1.185014e-003
1.180000000000001e+000	1.188198e-003
1.200000000000001e+000	1.191350e-003
1.220000000000001e+000	1.194475e-003
1.240000000000001e+000	1.197576e-003
1.260000000000001e+000	1.200656e-003
1.280000000000001e+000	1.203716e-003
1.300000000000001e+000	1.206761e-003
1.320000000000001e+000	1.209790e-003
1.340000000000001e+000	1.212807e-003
1.360000000000001e+000	1.215811e-003
1.380000000000001e+000	1.218806e-003
