vds	d(abs(I(Vds)))/d(VDS)
Step Information: Vgs=600m  (Run: 1/5)
8.200000000000004e-001	1.765715e-004
8.400000000000004e-001	1.702152e-004
8.600000000000004e-001	1.649722e-004
8.800000000000005e-001	1.606182e-004
9.000000000000005e-001	1.569817e-004
9.200000000000005e-001	1.539272e-004
9.400000000000005e-001	1.513472e-004
9.600000000000005e-001	1.491528e-004
9.800000000000005e-001	1.472799e-004
1.000000000000000e+000	1.456763e-004
1.020000000000001e+000	1.442939e-004
1.040000000000001e+000	1.431006e-004
1.060000000000001e+000	1.420674e-004
1.080000000000001e+000	1.411696e-004
1.100000000000001e+000	1.403867e-004
1.120000000000001e+000	1.397042e-004
1.140000000000001e+000	1.391105e-004
1.160000000000001e+000	1.385910e-004
1.180000000000001e+000	1.381355e-004
1.200000000000001e+000	1.377382e-004
1.220000000000001e+000	1.373919e-004
1.240000000000001e+000	1.370892e-004
1.260000000000001e+000	1.368273e-004
1.280000000000001e+000	1.366003e-004
1.300000000000001e+000	1.364024e-004
1.320000000000001e+000	1.362350e-004
1.340000000000001e+000	1.360924e-004
1.360000000000001e+000	1.359702e-004
1.380000000000001e+000	1.358712e-004
1.400000000000001e+000	1.357897e-004
1.420000000000001e+000	1.357228e-004
1.440000000000001e+000	1.356733e-004
1.460000000000001e+000	1.356369e-004
1.480000000000001e+000	1.356122e-004
1.500000000000001e+000	1.356006e-004
1.520000000000001e+000	1.355991e-004
1.540000000000001e+000	1.356064e-004
1.560000000000001e+000	1.356224e-004
1.580000000000001e+000	1.356471e-004
1.600000000000001e+000	1.356806e-004
1.620000000000001e+000	1.357199e-004
1.640000000000001e+000	1.357635e-004
1.660000000000001e+000	1.358159e-004
1.680000000000001e+000	1.358741e-004
1.700000000000001e+000	1.359353e-004
1.720000000000001e+000	1.360022e-004
1.740000000000001e+000	1.360750e-004
1.760000000000001e+000	1.361506e-004
1.780000000000001e+000	1.362292e-004
1.800000000000000e+000	1.362700e-004
Step Information: Vgs=1.8  (Run: 5/5)
0.000000000000000e+000	0.000000e+000
2.000000000000000e-002	2.464933e-003
4.000000000000000e-002	2.397802e-003
6.000000000000000e-002	2.331826e-003
8.000000000000000e-002	2.266974e-003
1.000000000000000e-001	2.203216e-003
1.200000000000000e-001	2.140523e-003
1.400000000000000e-001	2.078865e-003
1.600000000000000e-001	2.018210e-003
1.800000000000000e-001	1.958531e-003
2.000000000000000e-001	1.899798e-003
2.200000000000000e-001	1.841978e-003
2.400000000000000e-001	1.785042e-003
2.600000000000000e-001	1.728958e-003
2.800000000000000e-001	1.673691e-003
3.000000000000000e-001	1.619208e-003
3.200000000000000e-001	1.565469e-003
3.400000000000000e-001	1.512434e-003
3.600000000000000e-001	1.460062e-003
3.800000000000001e-001	1.408302e-003
